sent_1, 0, 2, 7, 3, 1, 1, 3, 0
sent_2, 1, 1, 8, 4, 1, 1, 2, 1
sent_3, 0, 0, 2, 2, 2, 2, 0, 1
sent_4, 0, 4, 7, 6, 0, 1, 4, 0
sent_5, 0, 0, 2, 2, 1, 0, 2, 0
sent_6, 0, 0, 1, 2, 0, 0, 0, 0
sent_7, 0, 5, 3, 1, 0, 0, 0, 0
sent_8, 0, 0, 2, 1, 1, 1, 1, 0
sent_9, 0, 0, 2, 1, 1, 0, 1, 0
sent_10, 0, 3, 10, 4, 0, 1, 5, 0
sent_11, 1, 6, 10, 6, 0, 2, 2, 0
sent_12, 0, 0, 10, 5, 1, 0, 3, 1
sent_13, 0, 0, 2, 3, 0, 1, 0, 0
sent_14, 0, 7, 15, 5, 1, 0, 2, 1
sent_15, 0, 3, 7, 2, 1, 0, 3, 0
sent_16, 0, 1, 3, 2, 1, 0, 2, 0
sent_17, 0, 2, 3, 4, 0, 1, 0, 1
sent_18, 0, 0, 0, 2, 0, 3, 0, 0
sent_19, 0, 0, 2, 2, 0, 1, 1, 0
sent_20, 0, 0, 2, 3, 2, 1, 4, 2
sent_21, 0, 0, 4, 3, 1, 0, 2, 0
sent_22, 0, 9, 14, 4, 1, 0, 2, 1
sent_23, 0, 2, 10, 6, 0, 0, 1, 1
sent_24, 0, 5, 8, 1, 0, 0, 3, 1
sent_25, 0, 0, 6, 6, 0, 1, 2, 1
sent_26, 0, 0, 1, 1, 1, 0, 1, 0
sent_27, 0, 0, 1, 3, 0, 0, 0, 0
sent_28, 1, 1, 2, 1, 1, 1, 2, 0
sent_29, 0, 1, 3, 2, 1, 0, 1, 0
sent_30, 0, 0, 0, 0, 1, 1, 0, 0
sent_31, 0, 0, 1, 5, 0, 4, 1, 0
sent_32, 0, 4, 7, 8, 2, 3, 1, 0
sent_33, 2, 7, 9, 4, 2, 2, 4, 0
sent_34, 0, 0, 0, 2, 1, 0, 0, 0
sent_35, 0, 0, 1, 3, 0, 1, 2, 0
sent_36, 0, 0, 2, 5, 0, 0, 1, 2
