sent_1, 0, 1, 6, 2, 0, 1, 2, 1
sent_2, 0, 2, 6, 2, 2, 0, 2, 0
sent_3, 0, 1, 2, 1, 2, 1, 0, 0
sent_4, 3, 0, 8, 4, 5, 1, 6, 0
sent_5, 1, 2, 5, 1, 4, 0, 4, 1
sent_6, 0, 1, 7, 5, 2, 1, 4, 1
sent_7, 3, 2, 7, 1, 2, 1, 5, 1
sent_8, 0, 1, 6, 2, 1, 0, 1, 1
sent_9, 0, 2, 8, 6, 3, 2, 3, 1
sent_10, 0, 1, 8, 5, 1, 0, 4, 0
sent_11, 0, 5, 15, 8, 3, 2, 4, 1
sent_12, 0, 0, 4, 1, 0, 1, 0, 0
sent_13, 0, 3, 6, 3, 2, 1, 0, 1
sent_14, 0, 2, 5, 3, 1, 0, 1, 1
sent_15, 0, 5, 9, 3, 3, 1, 2, 2
sent_16, 0, 5, 9, 1, 0, 0, 2, 0
sent_17, 0, 2, 4, 2, 2, 0, 2, 0
sent_18, 1, 2, 14, 2, 1, 2, 4, 1
sent_19, 0, 3, 5, 4, 3, 1, 3, 0
sent_20, 2, 1, 5, 2, 3, 0, 3, 1
sent_21, 1, 1, 4, 2, 2, 0, 2, 0
sent_22, 0, 0, 5, 5, 1, 1, 4, 0
sent_23, 0, 1, 5, 1, 2, 2, 1, 0
sent_24, 1, 1, 7, 3, 2, 0, 3, 0
sent_25, 0, 0, 8, 3, 1, 1, 1, 1
sent_26, 0, 0, 1, 1, 1, 0, 1, 1
sent_27, 0, 3, 10, 5, 2, 1, 2, 0
sent_28, 0, 1, 4, 3, 2, 3, 2, 0
sent_29, 0, 0, 4, 2, 1, 0, 2, 0
sent_30, 0, 0, 3, 1, 1, 1, 0, 0
sent_31, 0, 0, 2, 1, 1, 1, 0, 0
sent_32, 1, 2, 8, 1, 1, 0, 1, 0
sent_33, 0, 3, 7, 2, 1, 1, 2, 0
sent_34, 0, 0, 2, 3, 1, 0, 0, 0
sent_35, 0, 5, 14, 4, 2, 0, 3, 0
sent_36, 0, 3, 7, 3, 2, 2, 2, 1
sent_37, 2, 0, 3, 2, 0, 0, 4, 0
sent_38, 0, 5, 11, 2, 1, 0, 2, 1
sent_39, 0, 3, 5, 1, 1, 0, 2, 0
sent_40, 0, 5, 8, 2, 1, 1, 3, 1
sent_41, 0, 1, 6, 8, 0, 3, 4, 0
sent_42, 0, 4, 9, 2, 1, 2, 2, 1
sent_43, 0, 0, 4, 4, 1, 2, 1, 0
sent_44, 0, 3, 11, 3, 1, 1, 3, 0
sent_45, 0, 4, 13, 3, 5, 0, 5, 1
sent_46, 1, 3, 7, 4, 1, 1, 2, 0
sent_47, 1, 4, 11, 2, 1, 1, 4, 0
sent_48, 0, 1, 4, 3, 1, 0, 1, 0
sent_49, 1, 3, 8, 2, 3, 0, 3, 1
sent_50, 0, 0, 9, 5, 2, 0, 2, 0
sent_51, 0, 0, 7, 3, 1, 0, 2, 0
sent_52, 0, 1, 7, 6, 1, 3, 1, 0
sent_53, 0, 3, 10, 6, 2, 0, 4, 0
sent_54, 0, 1, 7, 3, 2, 1, 1, 0
sent_55, 0, 3, 11, 1, 0, 0, 4, 0
sent_56, 0, 2, 6, 10, 1, 0, 2, 0
sent_57, 0, 0, 5, 6, 4, 1, 2, 1
