sent_1, 2, 2, 5, 3, 1, 2, 2, 1
sent_2, 1, 1, 3, 3, 3, 0, 2, 2
sent_3, 2, 2, 2, 2, 1, 0, 2, 0
sent_4, 3, 2, 5, 0, 0, 0, 2, 0
sent_5, 3, 2, 7, 1, 1, 2, 3, 2
sent_6, 5, 2, 8, 1, 1, 0, 3, 0
sent_7, 5, 2, 5, 1, 3, 0, 1, 1
sent_8, 2, 2, 6, 4, 4, 2, 3, 0
sent_9, 0, 0, 4, 0, 0, 0, 2, 0
sent_10, 1, 1, 4, 1, 4, 2, 1, 1
sent_11, 1, 1, 8, 2, 3, 1, 5, 0
sent_12, 1, 1, 4, 2, 3, 2, 2, 1
sent_13, 1, 2, 5, 1, 1, 3, 1, 1
sent_14, 4, 3, 16, 3, 3, 1, 5, 3
sent_15, 0, 0, 5, 2, 1, 0, 2, 0
sent_16, 2, 2, 7, 2, 4, 2, 1, 1
sent_17, 3, 3, 7, 2, 2, 1, 0, 0
sent_18, 3, 2, 3, 1, 1, 1, 2, 0
sent_19, 3, 3, 8, 0, 0, 0, 4, 1
sent_20, 4, 3, 7, 1, 2, 2, 2, 1
sent_21, 1, 2, 8, 1, 2, 4, 3, 1
sent_22, 2, 1, 1, 3, 2, 2, 3, 1
sent_23, 5, 3, 8, 1, 2, 1, 5, 1
sent_24, 4, 1, 11, 1, 1, 0, 4, 1
sent_25, 6, 1, 7, 0, 2, 0, 1, 1
sent_26, 0, 2, 5, 1, 0, 0, 0, 0
sent_27, 3, 2, 10, 2, 0, 0, 2, 0
sent_28, 2, 1, 6, 3, 3, 4, 2, 1
sent_29, 1, 0, 5, 3, 2, 1, 2, 0
sent_30, 1, 1, 2, 2, 0, 1, 2, 0
sent_31, 0, 0, 2, 2, 0, 1, 1, 0
sent_32, 1, 3, 5, 2, 1, 0, 1, 0
sent_33, 4, 5, 8, 3, 0, 0, 4, 0
sent_34, 0, 1, 8, 1, 3, 2, 4, 0
sent_35, 0, 0, 2, 1, 1, 0, 1, 0
sent_36, 0, 0, 1, 3, 0, 0, 0, 0
sent_37, 5, 5, 7, 3, 5, 0, 2, 1
sent_38, 3, 6, 13, 3, 2, 2, 7, 3
sent_39, 5, 7, 9, 1, 1, 0, 4, 0
sent_40, 2, 4, 10, 2, 1, 1, 1, 1
sent_41, 5, 6, 8, 2, 0, 1, 1, 0
sent_42, 1, 3, 16, 2, 4, 4, 9, 5
sent_43, 1, 1, 4, 2, 0, 2, 1, 0
sent_44, 1, 1, 5, 0, 1, 0, 1, 0
sent_45, 2, 2, 5, 2, 1, 2, 2, 0
sent_46, 0, 1, 12, 2, 3, 3, 3, 1
sent_47, 4, 4, 8, 4, 0, 2, 3, 1
sent_48, 0, 0, 2, 1, 0, 0, 0, 0
sent_49, 0, 0, 1, 2, 0, 1, 1, 0
sent_50, 0, 2, 5, 1, 0, 3, 1, 1
sent_51, 0, 3, 7, 3, 2, 1, 4, 1
sent_52, 4, 4, 8, 1, 3, 1, 5, 1
sent_53, 4, 3, 9, 0, 1, 1, 2, 0
sent_54, 2, 1, 7, 5, 1, 2, 1, 0
sent_55, 0, 0, 5, 4, 1, 1, 0, 1
sent_56, 1, 1, 2, 2, 1, 2, 0, 0
sent_57, 3, 1, 6, 2, 2, 0, 0, 1
sent_58, 0, 0, 9, 5, 1, 2, 2, 2
sent_59, 2, 1, 4, 2, 1, 1, 3, 0
sent_60, 0, 3, 5, 1, 2, 0, 0, 1
sent_61, 7, 4, 8, 2, 0, 0, 0, 1
sent_62, 9, 9, 14, 1, 0, 1, 5, 1
sent_63, 1, 3, 5, 2, 1, 0, 2, 0
sent_64, 7, 10, 14, 1, 0, 0, 4, 1
sent_65, 2, 1, 4, 3, 3, 1, 3, 0
sent_66, 0, 1, 3, 4, 1, 3, 0, 2
sent_67, 1, 1, 3, 3, 2, 2, 1, 1
sent_68, 0, 0, 1, 1, 1, 1, 1, 0
sent_69, 2, 4, 9, 5, 2, 4, 4, 1
sent_70, 1, 1, 7, 1, 2, 0, 1, 1
sent_71, 2, 2, 4, 1, 2, 1, 3, 0
sent_72, 5, 4, 13, 3, 2, 4, 6, 1
sent_73, 3, 2, 4, 1, 1, 0, 1, 1
