sent1, 1, 1, 1, 25, 37
sent2, 9, 1, 2, 25, 37
sent3, 31, 2, 3, 25, 37
sent4, 37, 3, 4, 25, 37
sent5, 26, 3, 5, 25, 37
sent6, 31, 4, 6, 25, 37
sent7, 29, 4, 7, 25, 37
sent8, 51, 5, 8, 25, 37
sent9, 32, 6, 9, 25, 37
sent10, 22, 6, 10, 25, 37
sent11, 18, 7, 11, 25, 37
sent12, 31, 7, 12, 25, 37
sent13, 43, 8, 13, 25, 37
sent14, 28, 9, 14, 25, 37
sent15, 18, 10, 15, 25, 37
sent16, 17, 11, 16, 25, 37
sent17, 22, 11, 17, 25, 37
sent18, 10, 11, 18, 25, 37
sent19, 19, 12, 19, 25, 37
sent20, 38, 13, 20, 25, 37
sent21, 42, 14, 21, 25, 37
sent22, 25, 14, 22, 25, 37
sent23, 14, 15, 23, 25, 37
sent24, 4, 15, 24, 25, 37
sent25, 32, 16, 25, 25, 37
sent26, 30, 17, 26, 25, 37
sent27, 12, 17, 27, 25, 37
sent28, 14, 18, 28, 25, 37
sent29, 31, 19, 29, 25, 37
sent30, 37, 20, 30, 25, 37
sent31, 54, 21, 31, 25, 37
sent32, 28, 21, 32, 25, 37
sent33, 30, 22, 33, 25, 37
sent34, 31, 23, 34, 25, 37
sent35, 26, 24, 35, 25, 37
sent36, 28, 25, 36, 25, 37
sent37, 20, 25, 37, 25, 37
