sent1, 9, 1, 1, 14, 24
sent2, 28, 2, 2, 14, 24
sent3, 35, 3, 3, 14, 24
sent4, 14, 3, 4, 14, 24
sent5, 30, 4, 5, 14, 24
sent6, 17, 4, 6, 14, 24
sent7, 38, 5, 7, 14, 24
sent8, 16, 5, 8, 14, 24
sent9, 11, 6, 9, 14, 24
sent10, 29, 6, 10, 14, 24
sent11, 37, 7, 11, 14, 24
sent12, 19, 7, 12, 14, 24
sent13, 19, 8, 13, 14, 24
sent14, 15, 8, 14, 14, 24
sent15, 24, 9, 15, 14, 24
sent16, 18, 9, 16, 14, 24
sent17, 27, 10, 17, 14, 24
sent18, 27, 10, 18, 14, 24
sent19, 27, 11, 19, 14, 24
sent20, 17, 12, 20, 14, 24
sent21, 20, 12, 21, 14, 24
sent22, 15, 13, 22, 14, 24
sent23, 10, 14, 23, 14, 24
sent24, 14, 14, 24, 14, 24
