sent_1, 0, 8, 18, 4, 1, 3, 6, 0
sent_2, 1, 8, 11, 7, 1, 0, 3, 0
sent_3, 2, 2, 5, 4, 3, 1, 5, 0
sent_4, 1, 3, 11, 9, 2, 3, 3, 0
sent_5, 2, 8, 15, 8, 1, 3, 8, 0
sent_6, 2, 4, 8, 3, 1, 0, 1, 1
sent_7, 2, 3, 12, 3, 1, 0, 5, 0
sent_8, 0, 1, 6, 2, 1, 0, 2, 0
sent_9, 0, 7, 12, 2, 2, 0, 2, 0
sent_10, 0, 0, 4, 4, 2, 1, 1, 1
sent_11, 0, 1, 5, 2, 2, 0, 2, 1
sent_12, 1, 1, 5, 2, 2, 0, 4, 0
sent_13, 1, 1, 3, 2, 0, 1, 1, 0
sent_14, 0, 6, 12, 3, 2, 1, 4, 0
sent_15, 2, 4, 8, 2, 3, 0, 4, 0
sent_16, 1, 1, 6, 5, 0, 2, 4, 1
sent_17, 1, 6, 9, 2, 1, 0, 4, 0
sent_18, 0, 1, 8, 3, 3, 3, 2, 0
sent_19, 0, 0, 7, 1, 0, 0, 2, 1
sent_20, 1, 4, 6, 2, 1, 1, 3, 0
sent_21, 3, 1, 8, 7, 1, 1, 4, 1
sent_22, 0, 2, 5, 3, 0, 1, 0, 1
sent_23, 0, 0, 5, 2, 3, 4, 4, 0
sent_24, 1, 2, 5, 2, 1, 0, 3, 0
sent_25, 0, 1, 5, 4, 0, 0, 3, 0
sent_26, 0, 1, 8, 2, 1, 0, 4, 2
sent_27, 0, 4, 11, 2, 0, 1, 5, 0
sent_28, 2, 2, 9, 6, 1, 1, 3, 1
sent_29, 4, 2, 11, 4, 4, 0, 6, 2
sent_30, 2, 2, 7, 6, 6, 4, 2, 2
sent_31, 0, 5, 11, 5, 2, 0, 5, 0
sent_32, 1, 3, 5, 2, 1, 0, 1, 0
sent_33, 0, 1, 7, 6, 1, 0, 1, 1
sent_34, 0, 3, 7, 3, 3, 0, 2, 1
sent_35, 1, 11, 14, 9, 1, 3, 3, 1
sent_36, 0, 1, 5, 2, 1, 0, 0, 0
