sent_1, 1, 4, 10, 4, 3, 0, 4, 0
sent_2, 0, 2, 8, 2, 3, 0, 3, 1
sent_3, 5, 3, 13, 5, 4, 3, 6, 1
sent_4, 3, 1, 7, 3, 4, 1, 4, 1
sent_5, 2, 1, 5, 2, 2, 0, 1, 0
sent_6, 0, 2, 10, 3, 0, 1, 0, 0
sent_7, 0, 1, 6, 2, 1, 2, 3, 0
sent_8, 0, 0, 11, 4, 4, 1, 4, 2
sent_9, 4, 1, 9, 3, 2, 1, 5, 1
sent_10, 2, 1, 7, 1, 2, 1, 4, 0
sent_11, 3, 2, 5, 3, 2, 0, 3, 0
sent_12, 3, 1, 5, 1, 4, 0, 2, 1
sent_13, 0, 1, 10, 2, 2, 0, 5, 0
sent_14, 0, 0, 7, 7, 2, 2, 4, 2
sent_15, 0, 0, 8, 5, 3, 2, 1, 2
sent_16, 2, 2, 11, 2, 4, 0, 6, 1
sent_17, 3, 1, 6, 2, 2, 0, 2, 0
sent_18, 3, 4, 10, 3, 6, 0, 5, 0
sent_19, 1, 0, 6, 1, 2, 1, 3, 0
sent_20, 1, 8, 18, 5, 2, 1, 4, 1
sent_21, 0, 8, 12, 3, 1, 0, 2, 0
sent_22, 1, 4, 17, 2, 1, 0, 6, 1
sent_23, 3, 2, 8, 1, 1, 1, 8, 1
sent_24, 3, 2, 10, 1, 4, 0, 7, 1
sent_25, 0, 1, 4, 2, 0, 0, 2, 0
sent_26, 3, 2, 8, 1, 2, 0, 6, 2
sent_27, 1, 1, 6, 2, 1, 0, 1, 1
sent_28, 4, 3, 12, 3, 2, 1, 7, 0
sent_29, 1, 4, 12, 9, 8, 4, 4, 3
sent_30, 0, 0, 3, 4, 3, 2, 1, 1
sent_31, 3, 2, 11, 4, 1, 3, 5, 1
sent_32, 3, 1, 8, 3, 4, 0, 6, 1
sent_33, 0, 1, 5, 3, 1, 0, 5, 0
sent_34, 5, 2, 9, 3, 1, 3, 6, 1
sent_35, 3, 2, 5, 2, 2, 0, 3, 0
sent_36, 6, 3, 11, 4, 3, 2, 5, 2
sent_37, 2, 1, 5, 3, 2, 0, 3, 0
sent_38, 3, 1, 7, 2, 2, 0, 4, 1
sent_39, 2, 1, 4, 2, 1, 0, 3, 0
sent_40, 4, 3, 8, 2, 1, 1, 4, 1
sent_41, 2, 1, 4, 1, 1, 1, 3, 0
sent_42, 4, 3, 7, 2, 2, 1, 4, 1
sent_43, 2, 1, 4, 1, 1, 1, 3, 0
sent_44, 3, 2, 7, 2, 2, 1, 5, 1
sent_45, 3, 2, 4, 2, 1, 0, 2, 0
