1,9,1,5,30,0,1,0,3,2,0,1,13,6,2,0,5,1,8,5,9,15,9,1
2,9,2,5,45,0,4,4,2,0,0,10,20,5,4,0,5,0,12,5,10,15,12,1
3,9,2,5,15,0,0,0,0,0,0,0,6,3,0,0,3,0,5,3,7,11,5,1
4,9,3,5,33,0,3,3,1,0,0,4,13,6,1,1,6,1,10,5,8,13,8,1
5,9,3,5,10,0,0,0,0,0,0,0,3,2,1,0,1,0,3,2,4,7,2,0
6,9,3,5,15,0,0,0,3,1,1,0,4,3,0,1,4,0,4,2,5,11,4,1
7,9,4,5,19,0,1,1,2,0,0,1,8,4,0,0,2,1,7,4,7,10,5,0
8,9,4,5,14,0,0,0,0,0,0,0,6,2,1,0,2,0,5,1,4,7,1,0
9,9,5,5,21,0,3,2,1,0,0,7,12,1,2,1,2,2,7,1,3,7,3,0
1,18,1,10,28,0,2,2,5,0,2,3,14,3,2,0,4,0,5,2,6,14,7,1
2,18,2,10,29,0,3,2,0,0,0,7,10,6,4,0,5,0,8,4,8,12,5,0
3,18,2,10,16,0,1,0,2,0,1,1,3,4,1,0,3,0,3,3,6,15,3,0
4,18,3,10,31,1,3,2,1,0,0,4,10,6,2,0,4,1,8,5,11,19,6,0
5,18,4,10,23,0,1,1,2,1,0,0,9,5,0,1,5,0,8,4,10,16,4,1
6,18,4,10,20,0,1,1,0,0,0,6,11,2,1,0,2,0,5,2,4,6,2,0
7,18,4,10,14,0,1,1,1,0,1,5,6,1,1,0,3,1,4,1,3,7,5,1
8,18,5,10,38,0,5,5,1,1,1,8,15,5,5,0,5,1,10,4,9,16,8,1
9,18,5,10,29,0,5,5,0,0,0,8,12,4,2,1,4,0,7,4,7,13,2,0
10,18,6,10,34,0,7,6,0,0,1,9,16,4,4,0,3,3,10,3,6,10,3,0
11,18,6,10,25,0,2,2,0,0,1,2,7,5,3,0,2,0,6,4,9,16,4,0
12,18,7,10,15,0,1,1,1,1,1,0,5,3,1,0,2,0,5,3,6,11,2,0
13,18,7,10,22,0,1,1,1,0,0,6,12,2,1,0,2,0,7,2,5,9,1,0
14,18,8,10,17,1,4,2,0,0,0,5,8,1,3,0,0,1,4,1,4,7,4,0
15,18,8,10,21,1,0,0,0,0,0,0,6,2,2,1,3,0,6,2,5,11,3,0
16,18,9,10,14,0,1,1,0,0,0,4,7,3,0,0,0,1,3,3,5,6,3,0
17,18,10,10,38,0,3,3,1,0,1,4,15,8,2,0,7,0,13,5,9,16,4,0
18,18,10,10,28,0,3,3,0,0,0,4,15,4,2,0,5,1,11,3,5,9,3,0
1,5,1,4,39,0,3,3,5,2,0,6,18,6,2,0,4,2,12,6,13,22,8,1
2,5,2,4,31,0,2,1,0,0,0,4,11,5,2,2,5,1,6,5,8,16,2,0
3,5,2,4,16,0,1,1,0,0,0,2,7,2,2,0,3,0,4,1,4,8,2,0
4,5,3,4,36,0,1,1,1,1,0,0,14,9,1,1,3,1,9,5,12,19,3,0
5,5,4,4,35,1,2,1,1,1,0,2,13,6,2,3,3,2,7,5,11,20,3,0
1,13,1,7,25,0,3,2,1,0,0,2,11,3,3,0,3,0,7,3,8,15,2,0
2,13,2,7,18,0,1,1,2,0,0,2,9,2,1,0,2,0,6,2,5,9,2,1
3,13,2,7,4,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,3,2,0
4,13,3,7,35,0,3,1,4,0,0,5,16,6,5,0,2,2,8,5,9,14,2,0
5,13,3,7,32,0,3,1,1,0,3,2,14,3,2,0,4,1,10,3,9,18,2,0
6,13,4,7,15,1,1,2,0,0,0,2,6,3,2,1,1,1,3,3,6,11,2,0
7,13,4,7,19,1,0,0,0,0,0,0,4,4,3,3,2,0,4,2,5,12,1,0
8,13,4,7,8,1,0,0,0,0,0,0,3,1,1,0,2,0,3,1,3,4,0,0
9,13,5,7,26,0,2,2,0,0,1,3,7,4,5,0,6,0,5,3,6,15,2,0
10,13,5,7,34,0,0,0,1,0,3,0,10,7,3,0,5,0,9,6,10,19,1,0
11,13,6,7,24,0,3,1,3,1,1,3,11,4,3,0,2,1,9,3,6,10,3,0
12,13,6,7,19,0,3,1,1,0,1,5,10,1,2,0,3,0,7,1,4,8,2,0
13,13,7,7,24,0,1,0,2,0,0,0,8,6,2,0,0,0,6,5,10,15,4,0
1,16,1,11,27,0,3,3,2,0,0,3,13,5,2,1,2,0,8,3,6,11,3,0
2,16,2,11,39,0,3,3,4,2,2,5,15,6,2,0,5,1,9,3,8,16,6,1
3,16,2,11,23,0,2,1,1,1,3,2,9,1,2,0,4,1,4,1,3,9,2,0
4,16,3,11,22,0,1,1,1,1,0,0,9,6,1,0,3,1,7,5,9,14,3,0
5,16,3,11,21,0,0,0,0,0,0,0,8,3,1,1,4,1,7,3,8,13,2,0
6,16,4,11,37,1,4,5,1,1,0,9,15,6,3,1,5,1,9,5,9,17,2,0
7,16,5,11,40,0,5,4,3,1,0,10,15,4,6,0,7,1,11,3,7,12,4,0
8,16,6,11,19,0,2,2,1,1,3,4,9,1,1,0,3,0,7,1,3,7,3,0
9,16,6,11,22,0,0,0,1,1,4,0,8,1,3,0,2,0,7,1,5,10,2,0
10,16,7,11,23,1,1,1,0,0,0,2,8,3,2,0,4,0,7,3,7,11,3,0
11,16,7,11,17,1,1,2,2,1,0,4,7,2,2,0,1,1,5,2,3,4,4,0
12,16,8,11,23,0,3,2,1,1,0,6,11,3,2,0,4,0,7,3,6,11,4,0
13,16,8,11,30,0,2,1,0,0,2,2,7,5,2,0,6,0,5,4,7,17,3,0
14,16,9,11,25,0,4,5,2,1,0,10,15,2,1,0,3,0,7,1,4,6,4,0
15,16,10,11,38,0,6,4,0,0,1,9,20,2,2,0,5,1,11,2,7,14,1,0
16,16,11,11,38,0,2,2,4,2,4,4,17,2,1,0,6,1,11,2,5,10,5,0
1,22,1,13,38,0,6,4,5,1,0,10,18,5,3,0,5,2,10,5,9,18,5,0
2,22,2,13,23,0,5,4,1,0,0,7,12,3,0,0,4,1,7,2,5,8,5,1
3,22,2,13,13,0,1,1,0,0,0,1,3,4,1,0,2,0,3,3,6,11,2,0
4,22,2,13,30,0,1,0,2,0,0,1,11,3,6,0,3,1,7,2,5,13,2,0
