feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,class
12,50,10,29,16,0,1,1,2,0,0,1,4,4,1,1,3,0,4,4,5,10,2,0
13,50,10,29,21,0,0,0,0,0,0,0,4,6,1,0,4,1,4,3,6,13,1,0
14,50,11,29,18,1,0,0,0,0,0,0,5,3,1,1,3,0,5,3,5,9,2,0
15,50,11,29,15,1,0,0,0,0,0,0,4,3,0,0,3,0,4,2,5,9,1,0
16,50,12,29,12,0,2,2,1,0,0,3,3,2,1,1,1,1,2,2,4,10,4,1
17,50,12,29,15,0,0,0,1,0,0,0,4,1,1,0,3,0,4,1,3,9,1,0
18,50,12,29,5,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,2,4,1,0
19,50,13,29,44,0,0,0,0,0,0,0,13,4,7,2,6,2,10,4,8,18,2,0
20,50,14,29,13,0,1,1,0,0,0,3,3,1,1,1,4,0,2,1,2,9,1,0
21,50,14,29,43,1,5,3,1,0,0,8,20,4,1,1,5,2,13,4,8,14,2,0
22,50,15,29,15,1,2,2,0,0,0,9,11,2,1,0,0,0,3,2,3,4,1,0
23,50,15,29,41,0,2,2,1,0,0,2,13,9,4,1,4,1,10,6,9,16,1,0
24,50,15,29,6,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1,3,4,1,0
25,50,16,29,38,0,3,1,1,0,0,5,16,4,2,2,5,1,12,4,11,22,2,0
26,50,17,29,29,1,0,0,0,0,0,0,8,4,2,1,3,2,8,4,9,20,1,0
27,50,18,29,6,0,2,0,0,0,0,1,3,1,0,2,0,0,1,1,2,4,1,0
28,50,19,29,83,0,15,14,3,0,0,29,43,5,1,1,15,3,22,4,10,22,4,0
29,50,20,29,48,0,3,3,2,0,1,6,17,4,5,2,9,2,11,4,11,25,3,0
30,50,20,29,18,0,3,3,1,0,1,6,8,1,1,0,4,0,5,1,4,9,1,0
31,50,21,29,15,0,1,1,1,0,0,1,2,5,2,0,2,0,2,4,6,13,2,0
32,50,21,29,38,0,6,6,1,0,0,15,20,2,1,1,5,1,11,2,5,11,2,0
33,50,22,29,31,0,0,0,1,1,0,1,11,6,2,0,4,2,6,4,6,15,2,0
34,50,22,29,18,0,1,1,1,0,0,1,6,3,3,0,3,1,6,2,4,8,4,1
35,50,22,29,38,0,1,1,0,0,1,3,14,6,2,0,5,0,12,5,11,22,2,0
36,50,23,29,39,0,4,4,1,0,0,6,11,6,4,1,6,0,9,6,10,19,2,0
37,50,23,29,26,0,0,0,1,0,0,1,6,3,4,1,4,2,6,3,7,15,3,0
38,50,24,29,22,1,2,3,1,0,1,3,5,7,1,1,2,1,4,6,10,19,2,0
39,50,24,29,7,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,2,5,1,0
40,50,25,29,17,0,3,2,1,0,0,2,7,3,1,1,3,0,6,3,5,7,2,0
41,50,25,29,29,0,2,2,3,0,0,2,5,8,2,3,4,1,4,8,10,23,3,0
42,50,26,29,20,0,0,0,0,0,0,0,4,5,4,0,0,2,3,2,5,15,2,0
43,50,26,29,15,0,0,0,0,0,0,0,2,5,0,0,2,0,2,4,6,13,2,0
44,50,27,29,20,1,0,0,0,0,0,0,3,6,2,1,1,0,3,4,7,14,2,0
45,50,27,29,14,1,0,0,0,0,0,0,3,4,0,0,1,1,3,3,5,9,1,0
46,50,28,29,45,0,1,0,1,0,0,1,12,8,2,4,7,0,10,7,14,30,3,0
47,50,28,29,25,0,1,0,1,0,0,1,5,6,2,0,3,1,5,5,9,21,1,0
48,50,29,29,16,1,1,1,0,0,0,2,6,1,2,1,2,0,3,1,4,11,9,1
49,50,29,29,20,1,0,0,0,0,0,1,4,3,3,1,2,1,4,2,4,11,9,1
50,50,29,29,13,1,2,2,3,0,0,3,4,3,0,0,3,1,2,3,5,11,6,1
1,32,1,25,12,0,0,0,0,0,0,0,3,3,2,1,1,0,3,2,5,9,1,0
2,32,2,25,41,0,3,3,1,1,0,7,18,5,3,0,7,0,12,4,12,24,6,0
3,32,3,25,25,0,1,1,0,1,0,2,7,4,4,1,3,0,5,4,8,18,2,0
4,32,3,25,20,0,2,2,1,0,1,2,4,5,0,1,3,0,4,4,7,16,2,0
5,32,4,25,44,0,3,3,2,0,1,6,12,11,3,0,2,1,7,8,13,27,7,1
6,32,5,25,36,0,2,2,0,0,0,5,14,2,3,1,6,2,9,2,6,15,2,0
7,32,6,25,25,0,1,0,0,0,0,1,10,4,2,1,3,2,7,4,9,17,2,0
8,32,6,25,8,0,0,0,0,0,0,0,2,2,1,1,0,0,2,2,4,6,2,0
9,32,7,25,51,0,2,1,0,0,2,4,17,7,5,1,12,0,14,6,14,33,5,1
