sent_1, 1, 5, 10, 6, 4, 0, 2, 0
sent_2, 0, 2, 10, 3, 2, 0, 6, 0
sent_3, 0, 6, 11, 4, 1, 3, 8, 1
sent_4, 0, 17, 22, 2, 1, 0, 2, 1
sent_5, 0, 6, 12, 2, 0, 3, 5, 1
sent_6, 0, 1, 5, 2, 1, 2, 2, 0
sent_7, 0, 4, 7, 4, 1, 1, 6, 0
sent_8, 0, 9, 15, 8, 3, 0, 7, 0
sent_9, 0, 0, 2, 3, 0, 1, 2, 0
sent_10, 0, 2, 6, 2, 3, 0, 1, 0
sent_11, 0, 3, 6, 4, 2, 2, 1, 0
sent_12, 0, 0, 5, 3, 0, 2, 2, 0
sent_13, 0, 1, 5, 3, 0, 1, 1, 0
sent_14, 0, 5, 11, 3, 1, 0, 3, 1
sent_15, 0, 3, 5, 4, 0, 1, 2, 0
sent_16, 0, 2, 7, 7, 1, 0, 2, 0
sent_17, 0, 0, 2, 2, 0, 1, 0, 0
sent_18, 0, 0, 1, 1, 2, 1, 0, 0
sent_19, 0, 4, 6, 3, 0, 0, 2, 1
sent_20, 0, 3, 8, 7, 1, 1, 2, 0
sent_21, 0, 1, 2, 1, 1, 3, 3, 0
sent_22, 0, 4, 7, 11, 1, 1, 3, 0
sent_23, 1, 11, 14, 2, 0, 0, 1, 1
sent_24, 0, 4, 8, 4, 0, 1, 1, 0
sent_25, 1, 3, 4, 1, 2, 1, 1, 0
sent_26, 1, 3, 8, 4, 2, 0, 5, 1
sent_27, 0, 2, 5, 0, 1, 1, 0, 0
sent_28, 0, 9, 13, 1, 1, 1, 2, 1
sent_29, 0, 2, 7, 2, 1, 0, 2, 1
sent_30, 0, 10, 15, 5, 5, 1, 9, 2
sent_31, 0, 8, 12, 4, 2, 4, 3, 2
sent_32, 0, 1, 4, 6, 1, 1, 3, 0
sent_33, 0, 4, 7, 3, 3, 2, 2, 1
sent_34, 0, 0, 4, 3, 2, 2, 3, 1
sent_35, 0, 4, 5, 4, 0, 2, 3, 0
sent_36, 0, 1, 2, 2, 1, 3, 1, 0
sent_37, 0, 1, 7, 5, 3, 2, 3, 0
sent_38, 0, 2, 4, 3, 1, 2, 3, 0
sent_39, 0, 1, 3, 3, 1, 1, 2, 0
sent_40, 0, 3, 4, 5, 0, 3, 2, 0
sent_41, 0, 4, 13, 7, 3, 3, 10, 2
sent_42, 0, 0, 6, 3, 2, 1, 5, 2
