sent1, 10, 1, 1, 13, 22
sent2, 15, 2, 2, 13, 22
sent3, 52, 3, 3, 13, 22
sent4, 34, 4, 4, 13, 22
sent5, 31, 5, 5, 13, 22
sent6, 15, 6, 6, 13, 22
sent7, 15, 6, 7, 13, 22
sent8, 16, 6, 8, 13, 22
sent9, 4, 6, 9, 13, 22
sent10, 14, 6, 10, 13, 22
sent11, 10, 7, 11, 13, 22
sent12, 15, 8, 12, 13, 22
sent13, 12, 8, 13, 13, 22
sent14, 10, 8, 14, 13, 22
sent15, 14, 9, 15, 13, 22
sent16, 29, 10, 16, 13, 22
sent17, 21, 11, 17, 13, 22
sent18, 8, 11, 18, 13, 22
sent19, 21, 12, 19, 13, 22
sent20, 36, 13, 20, 13, 22
sent21, 11, 13, 21, 13, 22
sent22, 5, 13, 22, 13, 22
