sent1, 7, 1, 1, 13, 23
sent2, 17, 2, 2, 13, 23
sent3, 20, 3, 3, 13, 23
sent4, 15, 3, 4, 13, 23
sent5, 34, 4, 5, 13, 23
sent6, 21, 5, 6, 13, 23
sent7, 19, 6, 7, 13, 23
sent8, 24, 6, 8, 13, 23
sent9, 16, 7, 9, 13, 23
sent10, 13, 7, 10, 13, 23
sent11, 13, 7, 11, 13, 23
sent12, 22, 8, 12, 13, 23
sent13, 21, 8, 13, 13, 23
sent14, 6, 8, 14, 13, 23
sent15, 16, 9, 15, 13, 23
sent16, 30, 9, 16, 13, 23
sent17, 17, 10, 17, 13, 23
sent18, 16, 10, 18, 13, 23
sent19, 40, 11, 19, 13, 23
sent20, 17, 12, 20, 13, 23
sent21, 27, 12, 21, 13, 23
sent22, 26, 13, 22, 13, 23
sent23, 28, 13, 23, 13, 23
