sent_1, 1, 4, 18, 4, 2, 2, 6, 0
sent_2, 0, 5, 14, 10, 2, 2, 5, 2
sent_3, 1, 1, 4, 3, 0, 1, 1, 1
sent_4, 0, 1, 9, 3, 2, 0, 6, 1
sent_5, 0, 3, 8, 4, 6, 1, 5, 1
sent_6, 0, 15, 21, 5, 4, 1, 7, 1
sent_7, 0, 2, 11, 2, 1, 0, 6, 0
sent_8, 0, 1, 6, 3, 0, 0, 3, 0
sent_9, 1, 8, 15, 2, 3, 0, 4, 1
sent_10, 0, 0, 0, 2, 0, 0, 0, 0
sent_11, 1, 9, 14, 5, 2, 1, 6, 0
sent_12, 0, 4, 13, 3, 3, 2, 4, 0
sent_13, 0, 3, 5, 1, 1, 0, 1, 0
sent_14, 0, 2, 7, 2, 0, 0, 3, 0
sent_15, 1, 9, 19, 4, 2, 2, 4, 0
sent_16, 0, 1, 7, 2, 2, 0, 1, 1
sent_17, 4, 3, 11, 2, 1, 0, 1, 0
sent_18, 1, 3, 11, 4, 3, 1, 5, 3
