sent_1, 0, 4, 14, 5, 2, 0, 4, 0
sent_2, 2, 6, 14, 5, 3, 3, 7, 1
sent_3, 0, 4, 12, 0, 2, 0, 3, 1
sent_4, 0, 2, 3, 1, 3, 0, 3, 0
sent_5, 0, 1, 10, 4, 4, 0, 2, 1
sent_6, 0, 1, 7, 3, 1, 0, 3, 0
sent_7, 0, 2, 10, 4, 2, 0, 2, 1
sent_8, 0, 3, 17, 9, 3, 1, 5, 1
sent_9, 0, 1, 7, 1, 2, 0, 2, 1
sent_10, 0, 1, 4, 1, 0, 0, 0, 0
sent_11, 0, 1, 3, 2, 0, 1, 1, 1
sent_12, 0, 0, 2, 2, 0, 0, 1, 0
sent_13, 0, 0, 1, 3, 0, 0, 1, 0
sent_14, 0, 0, 6, 1, 0, 0, 0, 0
sent_15, 1, 3, 13, 7, 4, 1, 4, 2
sent_16, 0, 8, 14, 6, 3, 0, 5, 1
sent_17, 1, 1, 6, 3, 0, 0, 4, 1
sent_18, 1, 0, 3, 3, 2, 0, 4, 0
sent_19, 0, 3, 12, 3, 3, 0, 5, 2
sent_20, 0, 1, 7, 3, 2, 0, 2, 1
sent_21, 0, 4, 8, 3, 3, 0, 2, 1
sent_22, 0, 2, 6, 6, 2, 1, 3, 1
