sent_1, 0, 4, 13, 3, 4, 0, 4, 0
sent_2, 0, 10, 14, 5, 5, 3, 4, 2
sent_3, 0, 1, 8, 7, 1, 1, 3, 1
sent_4, 0, 5, 9, 3, 4, 2, 5, 0
sent_5, 0, 2, 7, 5, 5, 1, 5, 1
sent_6, 0, 5, 16, 8, 7, 2, 8, 3
sent_7, 0, 2, 14, 2, 0, 1, 10, 0
sent_8, 0, 4, 9, 1, 0, 0, 5, 1
sent_9, 0, 4, 7, 3, 1, 1, 3, 0
sent_10, 0, 3, 15, 5, 1, 0, 2, 1
sent_11, 0, 5, 14, 7, 4, 3, 9, 1
sent_12, 0, 5, 13, 4, 3, 1, 1, 0
sent_13, 0, 1, 3, 5, 2, 0, 2, 0
sent_14, 2, 0, 3, 2, 1, 2, 2, 1
sent_15, 0, 1, 5, 6, 2, 1, 3, 1
sent_16, 0, 2, 3, 1, 3, 0, 2, 0
sent_17, 0, 2, 5, 5, 0, 1, 3, 0
sent_18, 0, 0, 11, 4, 5, 1, 7, 3
sent_19, 0, 8, 14, 6, 5, 1, 10, 0
sent_20, 0, 3, 9, 2, 2, 0, 5, 1
sent_21, 0, 3, 8, 2, 0, 0, 2, 0
sent_22, 0, 0, 0, 1, 0, 0, 0, 0
sent_23, 0, 2, 6, 7, 3, 2, 3, 1
sent_24, 0, 2, 9, 5, 2, 1, 5, 1
sent_25, 0, 0, 1, 4, 2, 0, 1, 1
sent_26, 0, 1, 2, 4, 1, 1, 2, 0
sent_27, 0, 5, 12, 4, 2, 1, 6, 1
sent_28, 1, 6, 12, 8, 1, 1, 6, 1
sent_29, 0, 2, 16, 9, 3, 0, 9, 1
sent_30, 0, 2, 9, 4, 1, 4, 6, 1
sent_31, 0, 5, 12, 6, 3, 1, 1, 2
sent_32, 0, 4, 11, 3, 3, 3, 4, 1
sent_33, 0, 3, 7, 3, 5, 1, 3, 2
sent_34, 0, 3, 9, 5, 3, 1, 4, 0
sent_35, 0, 3, 8, 3, 2, 0, 4, 0
