sent1, 14, 1, 1, 16, 37
sent2, 39, 2, 2, 16, 37
sent3, 31, 2, 3, 16, 37
sent4, 25, 3, 4, 16, 37
sent5, 38, 3, 5, 16, 37
sent6, 45, 4, 6, 16, 37
sent7, 20, 4, 7, 16, 37
sent8, 28, 4, 8, 16, 37
sent9, 13, 5, 9, 16, 37
sent10, 23, 6, 10, 16, 37
sent11, 16, 6, 11, 16, 37
sent12, 13, 7, 12, 16, 37
sent13, 16, 8, 13, 16, 37
sent14, 9, 8, 14, 16, 37
sent15, 27, 8, 15, 16, 37
sent16, 21, 8, 16, 16, 37
sent17, 19, 9, 17, 16, 37
sent18, 21, 9, 18, 16, 37
sent19, 23, 9, 19, 16, 37
sent20, 12, 9, 20, 16, 37
sent21, 17, 10, 21, 16, 37
sent22, 31, 10, 22, 16, 37
sent23, 12, 11, 23, 16, 37
sent24, 24, 12, 24, 16, 37
sent25, 14, 12, 25, 16, 37
sent26, 14, 12, 26, 16, 37
sent27, 20, 12, 27, 16, 37
sent28, 23, 12, 28, 16, 37
sent29, 27, 13, 29, 16, 37
sent30, 34, 13, 30, 16, 37
sent31, 33, 14, 31, 16, 37
sent32, 27, 15, 32, 16, 37
sent33, 11, 15, 33, 16, 37
sent34, 22, 15, 34, 16, 37
sent35, 20, 16, 35, 16, 37
sent36, 38, 16, 36, 16, 37
sent37, 11, 16, 37, 16, 37
