sent_1, 0, 1, 5, 2, 4, 1, 2, 3
sent_2, 0, 0, 1, 1, 0, 0, 1, 0
sent_3, 0, 1, 4, 2, 3, 1, 1, 1
sent_4, 2, 1, 4, 1, 1, 0, 2, 0
sent_5, 0, 10, 13, 1, 4, 0, 3, 1
sent_6, 0, 8, 8, 2, 1, 0, 1, 1
sent_7, 0, 1, 1, 0, 1, 0, 1, 0
sent_8, 0, 3, 9, 3, 2, 2, 5, 0
sent_9, 0, 0, 7, 2, 3, 1, 3, 1
sent_10, 0, 0, 5, 3, 2, 1, 1, 0
sent_11, 0, 2, 9, 8, 1, 4, 3, 0
sent_12, 0, 6, 8, 1, 0, 0, 2, 0
sent_13, 4, 1, 6, 5, 4, 2, 5, 3
sent_14, 0, 8, 13, 2, 3, 1, 4, 4
sent_15, 3, 7, 9, 3, 1, 1, 3, 2
sent_16, 3, 5, 6, 2, 1, 0, 1, 1
sent_17, 0, 2, 6, 4, 2, 1, 2, 0
sent_18, 2, 1, 8, 7, 1, 1, 4, 2
sent_19, 0, 0, 8, 1, 3, 0, 2, 1
sent_20, 0, 0, 4, 2, 4, 1, 6, 1
