sent1, 8, 1, 1, 13, 23
sent2, 19, 2, 2, 13, 23
sent3, 24, 3, 3, 13, 23
sent4, 18, 3, 4, 13, 23
sent5, 8, 3, 5, 13, 23
sent6, 26, 4, 6, 13, 23
sent7, 15, 4, 7, 13, 23
sent8, 26, 5, 8, 13, 23
sent9, 29, 6, 9, 13, 23
sent10, 21, 6, 10, 13, 23
sent11, 21, 7, 11, 13, 23
sent12, 20, 7, 12, 13, 23
sent13, 17, 8, 13, 13, 23
sent14, 29, 8, 14, 13, 23
sent15, 49, 9, 15, 13, 23
sent16, 24, 10, 16, 13, 23
sent17, 18, 10, 17, 13, 23
sent18, 9, 10, 18, 13, 23
sent19, 42, 11, 19, 13, 23
sent20, 6, 11, 20, 13, 23
sent21, 12, 12, 21, 13, 23
sent22, 26, 13, 22, 13, 23
sent23, 10, 13, 23, 13, 23
